Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
CDSL,NSE:CDSL,CDSL,EQ,2026-02-12,1397.2,1395.0,1395.1,1367.0,1369.4,1370.2,1375.71,1133736,15596.97,37948,459692.0,40.55
CDSL,NSE:CDSL,CDSL,EQ,2026-02-13,1370.2,1350.0,1359.0,1321.1,1335.6,1335.3,1336.86,1663043,22232.47,58059,528503.0,31.78
CDSL,NSE:CDSL,CDSL,EQ,2026-02-16,1335.3,1300.0,1362.6,1282.8,1353.8,1353.7,1339.23,1709640,22896.05,47531,315808.0,18.47
CDSL,NSE:CDSL,CDSL,EQ,2026-02-17,1353.7,1352.6,1353.0,1333.2,1339.8,1339.4,1342.19,901508,12099.98,33898,343072.0,38.06
CDSL,NSE:CDSL,CDSL,EQ,2026-02-18,1339.4,1340.1,1358.4,1334.0,1356.0,1355.7,1346.66,1366930,18407.95,37714,530243.0,38.79
CDSL,NSE:CDSL,CDSL,EQ,2026-02-19,1355.7,1355.7,1365.0,1313.5,1319.0,1320.3,1335.11,1202401,16053.33,43000,465114.0,38.68
CDSL,NSE:CDSL,CDSL,EQ,2026-02-20,1320.3,1320.5,1331.5,1317.0,1320.5,1320.4,1324.03,1072874,14205.22,32956,447497.0,41.71
CDSL,NSE:CDSL,CDSL,EQ,2026-02-23,1320.4,1330.0,1338.8,1320.1,1335.4,1334.3,1330.67,901439,11995.19,27296,295713.0,32.8
CDSL,NSE:CDSL,CDSL,EQ,2026-02-24,1334.3,1325.9,1342.0,1318.4,1328.2,1324.8,1327.98,1312682,17432.19,34196,483939.0,36.87
CDSL,NSE:CDSL,CDSL,EQ,2026-02-25,1324.8,1329.0,1338.8,1319.5,1326.0,1326.8,1329.78,873158,11611.05,25408,362783.0,41.55
CDSL,NSE:CDSL,CDSL,EQ,2026-02-26,1326.8,1324.0,1324.0,1284.0,1292.0,1295.8,1297.65,3319781,43079.17,89920,1013943.0,30.54
CDSL,NSE:CDSL,CDSL,EQ,2026-02-27,1295.8,1290.0,1299.0,1268.0,1272.0,1272.2,1277.23,1682338,21487.39,59688,529958.0,31.5
CDSL,NSE:CDSL,CDSL,EQ,2026-03-02,1272.2,1205.2,1253.0,1205.2,1231.0,1228.3,1231.65,3150540,38803.65,119933,1286025.0,40.82
CDSL,NSE:CDSL,CDSL,EQ,2026-03-04,1228.3,1210.0,1218.5,1188.0,1209.5,1209.4,1204.29,2561793,30851.37,105539,921774.0,35.98
CDSL,NSE:CDSL,CDSL,EQ,2026-03-05,1209.4,1226.0,1244.0,1213.0,1241.6,1239.6,1226.56,1533461,18808.79,53301,449252.0,29.3
