symbol,segment,entry_date,entry,cause_gain,cause_bars,cons_bars,cons_dd,lf_ratio,base_num,undercut10,undercut20,undercut50,prior_narrow,relvol_entry,turn20_cr,adr20,purple_red_10d,shallow,mfe,mae,reached_10,dip_before_10,reached_20,dip_before_20,giveback_after_10,r_2,days_2,hit2_2,r_3,days_3,hit2_3,r_5,days_5,hit2_5,r_8,days_8,hit2_8,breadth,idx_above20,year,undercut_rule_ok,liquid_25cr,fast_adr,lf_expanded,early_base,relvol_confirm,clean_cq
CGCL,smallcap,2021-10-12,498.86880792883835,0.30276421956611155,35,6,0.10869950683318763,1.0010872508904456,5,True,True,True,True,1.3049640349428593,2.2523840807351685,2.762171675715196,False,True,0.09649958139923309,-0.11920536336763443,False,-0.11920536336763443,False,-0.11920536336763443,False,-1.0,0,False,-1.0,0,False,-1.0000000000000004,4,False,-0.9999999999999994,20,False,0.74012476,True,2021,True,False,False,False,False,True,True
CGCL,smallcap,2022-02-14,550.9738970267443,0.39208294680074296,31,8,0.1383637008217039,3.420553005576409,5,True,True,False,True,7.14312178176482,6.141469469394684,4.312899721982628,False,True,0.20575648217697862,-0.0707554631299867,True,-0.0707554631299867,True,-0.0707554631299867,False,-1.0,0,False,-1.0,0,False,-1.0,0,False,2.5797210294065644,50,True,0.08249497,False,2022,True,False,True,True,False,True,True
CARBORUNIV,smallcap,2016-05-05,185.92682650822334,0.363649162839049,43,10,0.10900473515986198,1.1846250829077751,3,True,False,False,True,3.9669746313789505,0.8684018181089019,3.4557617304388,False,True,0.252044786322255,-0.02096117574426759,True,-0.02096117574426759,True,-0.02096117574426759,False,-1.0,0,False,2.4996567828942515,4,True,2.0702097664064523,12,True,2.9437193931575854,60,True,0.4532967,False,2016,True,False,False,False,False,True,True
CARBORUNIV,smallcap,2022-01-12,983.7173844446379,0.26954930392233734,43,7,0.07246375914249825,2.0272951001456923,6,True,False,False,True,2.804178673681909,21.715951051391603,4.360027991457276,False,True,0.0339001229896172,-0.3128165639155268,False,-0.3128165639155268,False,-0.3128165639155268,False,-1.0,0,False,-1.000000000000002,3,False,-0.9999999999999994,4,False,-1.2124992506637775,7,False,0.84444445,True,2022,True,False,True,True,False,True,True
CARTRADE,smallcap,2024-10-28,994.4500122070312,0.2900305511754586,45,6,0.09249951645292787,2.436538653475662,5,True,True,False,True,3.5455958223467823,20.250740976400454,4.431121865374347,False,True,0.7264819783185108,-0.020413281254747062,True,-0.020413281254747062,True,-0.020413281254747062,False,-1.0,0,False,2.074295251966751,2,True,3.333333333333333,9,True,3.333333333333333,19,True,0.1406518,False,2024,True,False,True,True,False,True,True
CEATLTD,smallcap,2024-07-09,2646.724521467653,0.3211772650294695,32,7,0.10291095397276306,1.2865466010600093,4,True,False,False,True,1.2960561771810764,86.16397734748291,3.8472400966347986,False,True,0.13519720800130286,-0.07541436216864306,True,-0.07541436216864306,False,-0.07541436216864306,False,-1.0,0,False,-1.0,0,False,-0.9999999999999986,9,False,1.861930561925711,60,True,0.7105263,True,2024,True,True,True,False,False,True,True
CEMPRO,smallcap,2016-06-15,122.94164552586761,0.3496261144420434,60,5,0.09830005450122514,2.9616765226848742,6,True,True,True,True,1.7191339654552633,2.045242847553139,3.6312737536948156,False,True,0.29094514618700273,-0.06299203343941306,True,-0.06299203343941306,True,-0.06299203343941306,False,-1.0,0,False,-1.0,0,False,-1.1023603382738763,7,False,2.108924145997959,20,True,0.7282609,True,2016,True,False,True,True,False,True,True
CENTRALBK,smallcap,2016-05-09,78.40759867675986,0.7484342122544587,44,8,0.05134335958795022,3.0245379196390094,1,True,True,False,True,1.9163446400800115,3.012757870391655,2.6589197239630433,False,True,0.3822987685549786,-0.08297480004408364,True,-0.08297480004408364,True,-0.08297480004408364,False,-1.0,0,False,-1.1677913644037639,2,False,-0.9999999999999997,2,False,-1.0000000000000002,5,False,0.5260274,True,2016,True,False,False,True,True,True,True
CENTRALBK,smallcap,2016-08-29,99.1781532359973,0.4779117072488941,60,8,0.098278907752687,3.8359173511618274,3,True,False,True,True,2.3482298171723257,11.143168577693787,4.045168722680092,False,True,0.08843530338573147,-0.14382895043268862,False,-0.14382895043268862,False,-0.14382895043268862,False,2.433429743962051,2,True,0.6666666666666666,12,True,-1.0000000000000009,13,False,-0.9999999999999996,21,False,0.5764075,True,2016,True,False,True,True,False,True,True
CENTRALBK,smallcap,2024-01-12,49.29992744748822,0.30599758828636214,48,5,0.07216493114770017,0.7145353685142568,4,True,True,False,True,1.409624671340855,117.76500229783419,4.193161046165637,False,True,0.5034210944514474,-0.03714571479596762,True,-0.03714571479596762,True,-0.03714571479596762,False,1.9762115926687263,3,True,0.6666666666666666,3,True,3.333333333333333,14,True,3.333333333333333,16,True,0.73920864,True,2024,True,True,True,False,False,True,True
